global_case_index,suite,suite_case_index,case_id,case_name,benchmark,source_name,base_formula_id,target_component,failure_mode,structure_type,feature_names,true_variables,true_variable_positions,true_expression,fn_name,noise_level,dimension,true_variable_count,interference_type,proxy_variables,proxy_variable_positions,nonlinear_decoy_variables,nonlinear_decoy_positions,n_train,n_val,n_test,seed,proxy_strength,decoy_noise,split_dir,train_path,val_path,test_path,train_clean_path,val_clean_path
67,component_ablation,67,balanced_067_srsd_exp_log_k3,balanced_067_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x13|x17|x23,13|17|23,exp(0.2*x13) + log(1 + x17**2) + x23,srsd_exp_log_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50067,0.35,0.18,suites/component_ablation/balanced_067_srsd_exp_log_k3,suites/component_ablation/balanced_067_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_067_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_067_srsd_exp_log_k3/test.csv,,
68,component_ablation,68,balanced_068_nguyen_trig_poly_k3,balanced_068_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x4|x8|x11,4|8|11,x4**2 + x8*sin(x11) + 0.5*x4*x8,nguyen_trig_poly_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x5|x6,3|5|6,128,128,1024,50068,0.35,0.18,suites/component_ablation/balanced_068_nguyen_trig_poly_k3,suites/component_ablation/balanced_068_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_068_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_068_nguyen_trig_poly_k3/test.csv,,
69,component_ablation,69,balanced_069_feynman_rational_trig_k4,balanced_069_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x8|x11|x21|x22,8|11|21|22,(x8 + 0.5*x11**2)/(1 + x21**2) + 0.4*cos(x22),feynman_rational_trig_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50069,0.35,0.18,suites/component_ablation/balanced_069_feynman_rational_trig_k4,suites/component_ablation/balanced_069_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_069_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_069_feynman_rational_trig_k4/test.csv,,
70,component_ablation,70,balanced_070_friedman2_safe_k4,balanced_070_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x7|x9|x21|x28,7|9|21|28,sqrt(x7**2 + (x9*x21 - 1/(x9*x28))**2),friedman2_safe_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50070,0.35,0.18,suites/component_ablation/balanced_070_friedman2_safe_k4,suites/component_ablation/balanced_070_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_070_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_070_friedman2_safe_k4/test.csv,,
71,component_ablation,71,balanced_071_srsd_energy_like_k4,balanced_071_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x6|x11|x13|x19,6|11|13|19,x6*x11**2 + 0.1*sin(x13) - 0.3*x19,srsd_energy_like_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x7,4|5|7,128,128,1024,50071,0.35,0.18,suites/component_ablation/balanced_071_srsd_energy_like_k4,suites/component_ablation/balanced_071_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_071_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_071_srsd_energy_like_k4/test.csv,,
72,component_ablation,72,balanced_072_livermore_rational_interaction_k4,balanced_072_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x3|x6|x8|x10,3|6|8|10,x3*x6/(1 + x8**2) + sin(x10),livermore_rational_interaction_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x7|x9,5|7|9,128,128,1024,50072,0.35,0.18,suites/component_ablation/balanced_072_livermore_rational_interaction_k4,suites/component_ablation/balanced_072_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_072_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_072_livermore_rational_interaction_k4/test.csv,,
73,component_ablation,73,balanced_073_feynman_trig_interaction_k2,balanced_073_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x4|x6,4|6,1.25*x4 + sin(x6) + 0.35*x4*x6,feynman_trig_interaction_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x5,3|5,128,128,1024,50073,0.45,0.1,suites/component_ablation/balanced_073_feynman_trig_interaction_k2,suites/component_ablation/balanced_073_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_073_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_073_feynman_trig_interaction_k2/test.csv,,
74,component_ablation,74,balanced_074_nguyen_rational_k2,balanced_074_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x9|x11,9|11,x9/(1 + x11**2) + 0.5*x11,nguyen_rational_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50074,0.45,0.1,suites/component_ablation/balanced_074_nguyen_rational_k2,suites/component_ablation/balanced_074_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_074_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_074_nguyen_rational_k2/test.csv,,
75,component_ablation,75,balanced_075_livermore_exp_trig_k2,balanced_075_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x11|x12,11|12,exp(0.3*x11) - cos(x12),livermore_exp_trig_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50075,0.45,0.1,suites/component_ablation/balanced_075_livermore_exp_trig_k2,suites/component_ablation/balanced_075_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_075_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_075_livermore_exp_trig_k2/test.csv,,
76,component_ablation,76,balanced_076_srsd_log_sqrt_k2,balanced_076_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x3|x11,3|11,log(1 + x3**2) + sqrt(1 + x11**2),srsd_log_sqrt_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x4|x5,4|5,128,128,1024,50076,0.45,0.1,suites/component_ablation/balanced_076_srsd_log_sqrt_k2,suites/component_ablation/balanced_076_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_076_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_076_srsd_log_sqrt_k2/test.csv,,
77,component_ablation,77,balanced_077_feynman_sparse_interaction_k3,balanced_077_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x1|x9|x16,1|9|16,sin(x1) + x9*x16 + 0.25*x16**2,feynman_sparse_interaction_k3,0.0,16,3,moderate_mixed_distractors,x2|x3,2|3,x4|x5|x6,4|5|6,128,128,1024,50077,0.45,0.1,suites/component_ablation/balanced_077_feynman_sparse_interaction_k3,suites/component_ablation/balanced_077_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_077_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_077_feynman_sparse_interaction_k3/test.csv,,
78,component_ablation,78,balanced_078_friedman_core_k3,balanced_078_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x7|x14|x16,7|14|16,10*sin(pi*x7*x14) + 20*(x16 - 0.5)**2,friedman_core_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50078,0.45,0.1,suites/component_ablation/balanced_078_friedman_core_k3,suites/component_ablation/balanced_078_friedman_core_k3/train.csv,suites/component_ablation/balanced_078_friedman_core_k3/val.csv,suites/component_ablation/balanced_078_friedman_core_k3/test.csv,,
79,component_ablation,79,balanced_079_srsd_exp_log_k3,balanced_079_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x1|x11|x16,1|11|16,exp(0.2*x1) + log(1 + x11**2) + x16,srsd_exp_log_k3,0.0,16,3,moderate_mixed_distractors,x2|x3,2|3,x4|x5|x6,4|5|6,128,128,1024,50079,0.45,0.1,suites/component_ablation/balanced_079_srsd_exp_log_k3,suites/component_ablation/balanced_079_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_079_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_079_srsd_exp_log_k3/test.csv,,
80,component_ablation,80,balanced_080_nguyen_trig_poly_k3,balanced_080_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x4|x12|x14,4|12|14,x4**2 + x12*sin(x14) + 0.5*x4*x12,nguyen_trig_poly_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x5|x6,3|5|6,128,128,1024,50080,0.45,0.1,suites/component_ablation/balanced_080_nguyen_trig_poly_k3,suites/component_ablation/balanced_080_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_080_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_080_nguyen_trig_poly_k3/test.csv,,
81,component_ablation,81,balanced_081_feynman_rational_trig_k4,balanced_081_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x3|x7|x16|x18,3|7|16|18,(x3 + 0.5*x7**2)/(1 + x16**2) + 0.4*cos(x18),feynman_rational_trig_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x6|x8,5|6|8,128,128,1024,50081,0.45,0.1,suites/component_ablation/balanced_081_feynman_rational_trig_k4,suites/component_ablation/balanced_081_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_081_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_081_feynman_rational_trig_k4/test.csv,,
82,component_ablation,82,balanced_082_friedman2_safe_k4,balanced_082_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x8|x10|x17|x20,8|10|17|20,sqrt(x8**2 + (x10*x17 - 1/(x10*x20))**2),friedman2_safe_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50082,0.45,0.1,suites/component_ablation/balanced_082_friedman2_safe_k4,suites/component_ablation/balanced_082_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_082_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_082_friedman2_safe_k4/test.csv,,
83,component_ablation,83,balanced_083_srsd_energy_like_k4,balanced_083_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x4|x9|x15|x19,4|9|15|19,x4*x9**2 + 0.1*sin(x15) - 0.3*x19,srsd_energy_like_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x5|x6|x7,5|6|7,128,128,1024,50083,0.45,0.1,suites/component_ablation/balanced_083_srsd_energy_like_k4,suites/component_ablation/balanced_083_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_083_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_083_srsd_energy_like_k4/test.csv,,
84,component_ablation,84,balanced_084_livermore_rational_interaction_k4,balanced_084_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x2|x7|x15,1|2|7|15,x1*x2/(1 + x7**2) + sin(x15),livermore_rational_interaction_k4,0.0,20,4,moderate_mixed_distractors,x3|x4|x5,3|4|5,x6|x8|x9,6|8|9,128,128,1024,50084,0.45,0.1,suites/component_ablation/balanced_084_livermore_rational_interaction_k4,suites/component_ablation/balanced_084_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_084_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_084_livermore_rational_interaction_k4/test.csv,,
85,component_ablation,85,balanced_085_feynman_trig_interaction_k2,balanced_085_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x13|x15,13|15,1.25*x13 + sin(x15) + 0.35*x13*x15,feynman_trig_interaction_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50085,0.55,0.14,suites/component_ablation/balanced_085_feynman_trig_interaction_k2,suites/component_ablation/balanced_085_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_085_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_085_feynman_trig_interaction_k2/test.csv,,
86,component_ablation,86,balanced_086_nguyen_rational_k2,balanced_086_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x10|x16,10|16,x10/(1 + x16**2) + 0.5*x16,nguyen_rational_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50086,0.55,0.14,suites/component_ablation/balanced_086_nguyen_rational_k2,suites/component_ablation/balanced_086_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_086_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_086_nguyen_rational_k2/test.csv,,
87,component_ablation,87,balanced_087_livermore_exp_trig_k2,balanced_087_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x12|x16,12|16,exp(0.3*x12) - cos(x16),livermore_exp_trig_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50087,0.55,0.14,suites/component_ablation/balanced_087_livermore_exp_trig_k2,suites/component_ablation/balanced_087_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_087_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_087_livermore_exp_trig_k2/test.csv,,
88,component_ablation,88,balanced_088_srsd_log_sqrt_k2,balanced_088_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x1|x4,1|4,log(1 + x1**2) + sqrt(1 + x4**2),srsd_log_sqrt_k2,0.0,16,2,moderate_mixed_distractors,x2|x3,2|3,x5|x6,5|6,128,128,1024,50088,0.55,0.14,suites/component_ablation/balanced_088_srsd_log_sqrt_k2,suites/component_ablation/balanced_088_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_088_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_088_srsd_log_sqrt_k2/test.csv,,
89,component_ablation,89,balanced_089_feynman_sparse_interaction_k3,balanced_089_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x2|x12,1|2|12,sin(x1) + x2*x12 + 0.25*x12**2,feynman_sparse_interaction_k3,0.0,20,3,moderate_mixed_distractors,x3|x4,3|4,x5|x6|x7,5|6|7,128,128,1024,50089,0.55,0.14,suites/component_ablation/balanced_089_feynman_sparse_interaction_k3,suites/component_ablation/balanced_089_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_089_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_089_feynman_sparse_interaction_k3/test.csv,,
90,component_ablation,90,balanced_090_friedman_core_k3,balanced_090_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x7|x14|x15,7|14|15,10*sin(pi*x7*x14) + 20*(x15 - 0.5)**2,friedman_core_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50090,0.55,0.14,suites/component_ablation/balanced_090_friedman_core_k3,suites/component_ablation/balanced_090_friedman_core_k3/train.csv,suites/component_ablation/balanced_090_friedman_core_k3/val.csv,suites/component_ablation/balanced_090_friedman_core_k3/test.csv,,
91,component_ablation,91,balanced_091_srsd_exp_log_k3,balanced_091_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x7|x10|x20,7|10|20,exp(0.2*x7) + log(1 + x10**2) + x20,srsd_exp_log_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50091,0.55,0.14,suites/component_ablation/balanced_091_srsd_exp_log_k3,suites/component_ablation/balanced_091_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_091_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_091_srsd_exp_log_k3/test.csv,,
92,component_ablation,92,balanced_092_nguyen_trig_poly_k3,balanced_092_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x9|x12,1|9|12,x1**2 + x9*sin(x12) + 0.5*x1*x9,nguyen_trig_poly_k3,0.0,20,3,moderate_mixed_distractors,x2|x3,2|3,x4|x5|x6,4|5|6,128,128,1024,50092,0.55,0.14,suites/component_ablation/balanced_092_nguyen_trig_poly_k3,suites/component_ablation/balanced_092_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_092_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_092_nguyen_trig_poly_k3/test.csv,,
93,component_ablation,93,balanced_093_feynman_rational_trig_k4,balanced_093_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x11|x16|x19|x20,11|16|19|20,(x11 + 0.5*x16**2)/(1 + x19**2) + 0.4*cos(x20),feynman_rational_trig_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50093,0.55,0.14,suites/component_ablation/balanced_093_feynman_rational_trig_k4,suites/component_ablation/balanced_093_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_093_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_093_feynman_rational_trig_k4/test.csv,,
94,component_ablation,94,balanced_094_friedman2_safe_k4,balanced_094_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x1|x7|x12|x20,1|7|12|20,sqrt(x1**2 + (x7*x12 - 1/(x7*x20))**2),friedman2_safe_k4,0.0,24,4,moderate_mixed_distractors,x2|x3|x4,2|3|4,x5|x6|x8,5|6|8,128,128,1024,50094,0.55,0.14,suites/component_ablation/balanced_094_friedman2_safe_k4,suites/component_ablation/balanced_094_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_094_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_094_friedman2_safe_k4/test.csv,,
95,component_ablation,95,balanced_095_srsd_energy_like_k4,balanced_095_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x3|x7|x9|x13,3|7|9|13,x3*x7**2 + 0.1*sin(x9) - 0.3*x13,srsd_energy_like_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x6|x8,5|6|8,128,128,1024,50095,0.55,0.14,suites/component_ablation/balanced_095_srsd_energy_like_k4,suites/component_ablation/balanced_095_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_095_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_095_srsd_energy_like_k4/test.csv,,
96,component_ablation,96,balanced_096_livermore_rational_interaction_k4,balanced_096_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x14|x16|x20|x22,14|16|20|22,x14*x16/(1 + x20**2) + sin(x22),livermore_rational_interaction_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50096,0.55,0.14,suites/component_ablation/balanced_096_livermore_rational_interaction_k4,suites/component_ablation/balanced_096_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_096_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_096_livermore_rational_interaction_k4/test.csv,,
